ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usc,swap_usc,profit_usc,equity_usc,margin_level,close_reason
617164248,2025-12-08T09:09:38,2025-12-08T09:09:39,sell,0.05,XAUUSDc,4207.361,4207.531,0,0,0,0,-0.85,,,user
617162198,2025-12-08T09:09:20,2025-12-08T09:09:38,buy,0.05,XAUUSDc,4207.467,4207.39,0,0,0,0,-0.39,,,user
617159723,2025-12-08T09:09:17,2025-12-08T09:09:18,buy,0.05,XAUUSDc,4206.875,4207.253,0,0,0,0,1.89,,,user
617126683,2025-12-08T09:06:10,2025-12-08T09:09:07,sell,0.05,XAUUSDc,4208.4490000000005,4205.9,0,0,0,0,12.75,,,user
617126882,2025-12-08T09:06:19,2025-12-08T09:09:07,buy,0.05,XAUUSDc,4208.947,4205.807,0,0,0,0,-15.7,,,user
617135207,2025-12-08T09:08:50,2025-12-08T09:09:06,buy,0.07,XAUUSDc,4204.881,4205.807,0,0,0,0,6.48,,,user
617096458,2025-12-08T09:01:53,2025-12-08T09:06:05,buy,0.05,XAUUSDc,4208.946,4208.683,0,0,0,0,-1.31,,,user
617096688,2025-12-08T09:01:56,2025-12-08T09:06:05,sell,0.05,XAUUSDc,4208.7080000000005,4208.843,0,0,0,0,-0.68,,,user
617118347,2025-12-08T09:05:37,2025-12-08T09:06:05,buy,0.07,XAUUSDc,4207.912,4208.683,0,0,0,0,5.4,,,user
617067398,2025-12-08T08:59:02,2025-12-08T09:01:52,buy,0.05,XAUUSDc,4209.2029999999995,4208.685,0,0,0,0,-2.59,,,user
617069781,2025-12-08T08:59:15,2025-12-08T09:01:51,sell,0.05,XAUUSDc,4209.109,4208.76,0,0,0,0,1.75,,,user
617089556,2025-12-08T09:01:46,2025-12-08T09:01:51,sell,0.07,XAUUSDc,4210.035,4209.184,0,0,0,0,5.96,,,user
617041566,2025-12-08T08:55:12,2025-12-08T08:58:54,sell,0.05,XAUUSDc,4209.8060000000005,4208.782,0,0,0,0,5.12,,,user
617041249,2025-12-08T08:55:17,2025-12-08T08:58:54,buy,0.05,XAUUSDc,4209.8189999999995,4208.7080000000005,0,0,0,0,-5.56,,,user
617051439,2025-12-08T08:57:01,2025-12-08T08:58:54,buy,0.07,XAUUSDc,4208.889,4208.622,0,0,0,0,-1.87,,,user
617059595,2025-12-08T08:58:00,2025-12-08T08:58:54,buy,0.1,XAUUSDc,4207.923,4208.622,0,0,0,0,6.99,,,user
617007115,2025-12-08T08:48:59,2025-12-08T08:55:04,sell,0.05,XAUUSDc,4209.653,4210.096,0,0,0,0,-2.21,,,user
617007874,2025-12-08T08:49:04,2025-12-08T08:55:04,buy,0.05,XAUUSDc,4210.1,4209.936,0,0,0,0,-0.82,,,user
617022653,2025-12-08T08:52:29,2025-12-08T08:55:04,sell,0.07,XAUUSDc,4210.388,4210.155,0,0,0,0,1.63,,,user
617029085,2025-12-08T08:53:29,2025-12-08T08:55:03,sell,0.1,XAUUSDc,4211.003,4210.181,0,0,0,0,8.22,,,user
616977832,2025-12-08T08:44:58,2025-12-08T08:48:48,sell,0.05,XAUUSDc,4208.87,4210.209,0,0,0,0,-6.7,,,user
